                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.026,                0.94107,                 1.1269,                 0.7949,                0.76133,                0.82904,                0.58977,                 1.1092,                0.91808,                 1.1905,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.0188,                0.89737,                  1.119,                0.76443,                0.79661,                0.83074,                0.58459,                 1.0597,                 0.8889,                 1.1636,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.0044,                0.90636,                 1.1187,                0.83692,                0.73692,                0.83955,                0.60426,                 1.0802,                0.88743,                  1.174,              0.0006535,              0.0006535,              0.0006535
                     38,                0.99102,                0.89162,                 1.1046,                 0.8321,                0.74141,                0.83472,                0.60035,                 1.0667,                0.91191,                 1.1707,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.0131,                0.89479,                 1.1208,                0.82971,                0.78362,                0.85476,                0.61228,                 1.0774,                0.86261,                 1.1718,              0.0006337,              0.0006337,              0.0006337
                     40,                0.98815,                 0.8747,                 1.1137,                0.79889,                 0.7937,                0.84634,                0.60919,                 1.0805,                 0.8802,                 1.1753,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.0058,                0.86874,                  1.111,                0.81765,                0.78324,                0.85575,                 0.6204,                 1.0901,                0.87067,                 1.1783,              0.0006139,              0.0006139,              0.0006139
                     42,                0.96365,                0.82764,                 1.0965,                0.84145,                0.76069,                0.86164,                0.61938,                 1.0721,                0.81931,                 1.1796,               0.000604,               0.000604,               0.000604
                     43,                0.97677,                0.83023,                 1.1014,                 0.8187,                0.78329,                0.84788,                 0.6099,                 1.0845,                 0.8485,                 1.1916,              0.0005941,              0.0005941,              0.0005941
                     44,                 0.9546,                0.79874,                 1.0866,                0.79037,                0.81491,                0.85037,                 0.6099,                 1.0778,                0.86017,                 1.1771,              0.0005842,              0.0005842,              0.0005842
                     45,                0.96286,                0.81217,                 1.0889,                0.80845,                0.77165,                0.84842,                0.60965,                  1.094,                0.84318,                 1.1913,              0.0005743,              0.0005743,              0.0005743
                     46,                0.96904,                0.82987,                  1.094,                0.84201,                0.77545,                0.85978,                0.61837,                 1.0653,                0.85186,                  1.171,              0.0005644,              0.0005644,              0.0005644
                     47,                0.94106,                0.78938,                 1.0883,                0.79955,                0.80171,                0.85037,                0.61485,                 1.0522,                0.82726,                 1.1704,              0.0005545,              0.0005545,              0.0005545
                     48,                0.95289,                0.78563,                 1.0789,                0.84705,                0.79074,                0.86174,                0.62533,                 1.0518,                0.82248,                 1.1576,              0.0005446,              0.0005446,              0.0005446
                     49,                0.94651,                0.77849,                 1.0845,                0.84883,                0.78378,                 0.8588,                0.62312,                 1.0598,                0.81337,                 1.1689,              0.0005347,              0.0005347,              0.0005347
                     50,                0.94307,                0.79954,                 1.0874,                0.81441,                 0.7345,                0.82669,                0.59439,                 1.0743,                0.91777,                 1.1685,              0.0005248,              0.0005248,              0.0005248
                     51,                0.93036,                0.77497,                 1.0744,                0.83747,                0.80027,                0.86325,                0.62645,                 1.0586,                0.82248,                 1.1545,              0.0005149,              0.0005149,              0.0005149
                     52,                0.92587,                  0.759,                 1.0789,                0.84327,                0.79492,                0.86947,                0.62802,                 1.0493,                0.80105,                 1.1584,               0.000505,               0.000505,               0.000505
                     53,                0.91546,                 0.7631,                 1.0681,                0.83277,                0.77137,                0.86038,                0.62663,                 1.0413,                0.81955,                 1.1536,              0.0004951,              0.0004951,              0.0004951
                     54,                0.91962,                0.75009,                 1.0656,                0.82906,                0.78983,                0.86119,                0.62368,                 1.0482,                0.84122,                 1.1629,              0.0004852,              0.0004852,              0.0004852
                     55,                0.89419,                0.72833,                 1.0576,                0.83353,                0.78155,                0.87095,                0.62741,                 1.0449,                0.82422,                 1.1635,              0.0004753,              0.0004753,              0.0004753
                     56,                0.88512,                0.72317,                 1.0548,                0.82493,                0.81483,                0.86942,                0.63072,                 1.0581,                0.79785,                 1.1762,              0.0004654,              0.0004654,              0.0004654
                     57,                0.90079,                0.72839,                 1.0584,                0.79588,                0.82641,                0.86787,                0.63183,                  1.052,                0.79836,                 1.1738,              0.0004555,              0.0004555,              0.0004555
                     58,                0.88908,                0.70475,                 1.0568,                0.85257,                 0.8056,                0.87221,                0.63296,                 1.0459,                0.76935,                 1.1635,              0.0004456,              0.0004456,              0.0004456
                     59,                0.86993,                0.70692,                 1.0487,                0.82476,                0.80792,                0.87065,                 0.6295,                 1.0641,                0.79292,                 1.1793,              0.0004357,              0.0004357,              0.0004357
                     60,                0.88281,                0.68342,                 1.0456,                0.80914,                0.79975,                0.85872,                0.62683,                  1.055,                0.80681,                 1.1671,              0.0004258,              0.0004258,              0.0004258
                     61,                0.85405,                0.67416,                 1.0349,                0.83074,                0.80148,                0.86606,                0.63796,                 1.0393,                0.79944,                 1.1588,              0.0004159,              0.0004159,              0.0004159
                     62,                0.87546,                  0.694,                 1.0456,                 0.8357,                 0.8067,                0.87273,                0.64015,                 1.0427,                0.77712,                 1.1566,               0.000406,               0.000406,               0.000406
                     63,                0.85699,                0.67303,                 1.0442,                0.83753,                 0.7976,                0.85565,                0.62937,                 1.0317,                0.79275,                 1.1559,              0.0003961,              0.0003961,              0.0003961
                     64,                0.86653,                0.68131,                 1.0445,                0.83085,                 0.8263,                 0.8764,                0.64237,                 1.0437,                0.77158,                 1.1614,              0.0003862,              0.0003862,              0.0003862
                     65,                0.84197,                0.65605,                 1.0298,                0.84704,                0.81267,                0.87699,                0.64185,                 1.0405,                0.77497,                 1.1665,              0.0003763,              0.0003763,              0.0003763
