                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2764,                 4.5619,                 1.4257,                0.52841,                0.44838,                 0.4786,                0.30783,                 1.2662,                 2.6914,                 1.4107,             0.00032738,             0.00032738,             0.00032738
                      2,                 1.2612,                 1.8989,                 1.3752,                0.34981,                0.43026,                0.34108,                 0.1658,                 1.6821,                 2.7309,                 1.8689,             0.00065417,             0.00065417,             0.00065417
                      3,                 1.2586,                  1.782,                 1.3638,                0.37829,                0.42491,                0.36078,                 0.2098,                 1.5204,                 2.5161,                 1.7293,             0.00097437,             0.00097437,             0.00097437
                      4,                 1.3404,                 1.7775,                 1.4331,                0.45202,                0.41857,                 0.3505,                0.19342,                 1.6242,                 2.5472,                 1.6975,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.3157,                 1.7232,                 1.3912,                0.52074,                0.45883,                0.45048,                0.26754,                 1.5505,                 2.9743,                 1.6608,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.2778,                 1.5929,                  1.372,                 0.5367,                0.57262,                0.56612,                0.34256,                 1.4084,                 1.9157,                  1.529,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.2634,                 1.5414,                 1.3615,                0.61153,                 0.5754,                0.62969,                0.39394,                 1.2913,                 1.6838,                 1.4391,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.2142,                 1.4756,                 1.3374,                0.61037,                0.59848,                0.62368,                0.40074,                 1.3523,                 1.7581,                 1.4606,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.2186,                 1.4318,                 1.3256,                0.61623,                0.65123,                0.69126,                0.45539,                 1.2375,                 1.3933,                 1.3704,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.2107,                  1.387,                 1.3238,                0.58939,                0.61869,                0.62361,                0.41487,                 1.2463,                 1.5714,                 1.3873,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.1676,                 1.3017,                 1.2932,                0.63167,                0.65992,                0.71453,                0.47188,                 1.2235,                 1.3149,                 1.3681,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.1628,                 1.2954,                 1.2941,                 0.7088,                0.67384,                0.72783,                0.48268,                 1.2391,                  1.439,                 1.3464,               0.000901,               0.000901,               0.000901
                     13,                 1.1323,                 1.2636,                 1.2721,                0.73742,                0.64296,                0.74086,                0.49353,                 1.2195,                 1.2449,                 1.3421,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.1084,                 1.2285,                 1.2693,                0.69876,                0.66459,                0.74158,                0.49677,                 1.1924,                 1.3472,                 1.3419,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.1147,                 1.2013,                 1.2622,                0.74702,                0.68536,                0.75871,                0.52227,                 1.1617,                 1.1861,                 1.3203,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.0924,                  1.145,                 1.2549,                0.74112,                0.70288,                 0.7781,                0.52932,                 1.1803,                 1.2428,                 1.3229,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.0885,                 1.1429,                 1.2591,                0.73171,                0.75889,                0.80599,                0.55441,                 1.1218,                 1.2239,                 1.3166,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.0573,                 1.1123,                 1.2362,                0.74727,                0.73071,                0.79118,                0.54809,                 1.1577,                 1.1372,                 1.2946,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.0326,                 1.0737,                 1.2237,                0.79821,                0.73691,                0.81431,                0.57049,                 1.1287,                 1.0514,                 1.2926,              0.0008317,              0.0008317,              0.0008317
