                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2396,                 3.6423,                 1.3861,                0.56062,                0.50049,                0.52996,                0.31798,                 1.3235,                 2.1901,                 1.4996,             0.00033036,             0.00033036,             0.00033036
                      2,                 1.2961,                  1.944,                 1.4095,                0.46036,                0.45018,                0.42863,                0.24118,                 1.4937,                 2.9938,                 1.6925,             0.00065712,             0.00065712,             0.00065712
                      3,                 1.3579,                 1.8902,                 1.4598,                0.52199,                0.54646,                0.55071,                0.33197,                 1.4347,                  1.925,                 1.5963,             0.00097728,             0.00097728,             0.00097728
                      4,                 1.3628,                 1.8585,                  1.454,                0.60745,                0.52709,                0.57883,                0.34789,                 1.4262,                 1.7719,                 1.5509,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.3724,                  1.833,                 1.4487,                0.61632,                0.60498,                0.64283,                0.39912,                 1.3776,                 1.6981,                 1.5144,              0.0009703,              0.0009703,              0.0009703
                      6,                  1.316,                 1.6949,                 1.4133,                0.63447,                0.49299,                0.58648,                0.35483,                  1.381,                 1.8456,                 1.5415,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.2823,                 1.6035,                 1.3943,                0.63733,                0.59423,                0.66703,                0.42228,                 1.3465,                  1.576,                 1.4524,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.2693,                 1.5668,                 1.3831,                0.63018,                0.61555,                0.66366,                0.41388,                  1.325,                 1.6153,                 1.4837,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.2208,                 1.5372,                  1.352,                0.69163,                0.65308,                0.70693,                0.45938,                 1.2388,                 1.3963,                 1.3906,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.2054,                 1.5152,                 1.3313,                  0.643,                0.71282,                 0.7148,                0.46398,                 1.2264,                 1.3364,                 1.3953,              0.0009208,              0.0009208,              0.0009208
                     11,                  1.204,                 1.4091,                 1.3353,                0.67467,                 0.6773,                0.72316,                0.48506,                 1.1892,                 1.3307,                 1.3598,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.1827,                 1.3816,                 1.3215,                0.70397,                0.64351,                0.71289,                 0.4659,                   1.21,                 1.4374,                 1.3693,               0.000901,               0.000901,               0.000901
                     13,                 1.1393,                 1.3255,                 1.2925,                0.73165,                 0.6867,                0.76303,                0.50291,                 1.1994,                 1.2796,                 1.3683,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.1286,                 1.3058,                 1.2927,                0.72319,                0.72215,                 0.7829,                0.52471,                 1.1844,                 1.1644,                  1.321,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.1402,                 1.2474,                 1.2816,                0.69073,                0.67418,                0.74715,                0.50807,                 1.1563,                 1.2265,                 1.3303,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.1223,                 1.2442,                 1.2781,                0.70981,                0.75512,                0.78318,                0.54693,                 1.1283,                 1.2133,                 1.2971,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.1093,                 1.2417,                 1.2717,                0.73079,                0.74612,                0.79555,                0.55062,                 1.1523,                 1.1118,                 1.2992,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.0924,                 1.2319,                 1.2564,                0.74585,                0.76401,                0.79923,                0.55448,                  1.151,                 1.1164,                 1.3099,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.1008,                 1.2295,                 1.2569,                0.77348,                0.73012,                 0.8053,                0.56226,                 1.1156,                 1.0513,                 1.2921,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.0708,                 1.1301,                 1.2338,                0.74605,                0.76478,                 0.8113,                0.56718,                 1.0974,                 1.0438,                 1.2688,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.0424,                 1.1158,                  1.228,                0.75166,                0.75738,                0.80554,                 0.5761,                 1.0744,                  1.065,                 1.2493,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.0483,                  1.108,                 1.2302,                0.77734,                0.73106,                0.80748,                0.57551,                 1.0984,                 1.0511,                  1.281,               0.000802,               0.000802,               0.000802
                     23,                 1.0425,                 1.0771,                 1.2225,                0.75447,                0.77322,                0.82265,                0.59428,                 1.0596,                 1.0357,                 1.2659,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.0255,                 1.0571,                 1.2125,                 0.7671,                0.75519,                0.82587,                0.58705,                 1.0841,                 1.0366,                 1.2395,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.0119,                 1.0423,                 1.2033,                0.75217,                0.77216,                0.82168,                0.58964,                 1.0771,                 1.0163,                 1.2727,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.0098,                 1.0215,                 1.2117,                0.74373,                0.75191,                0.81357,                0.58093,                 1.0817,                  1.028,                 1.2611,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.0041,                 1.0035,                 1.2055,                0.77782,                0.77943,                0.83766,                0.59897,                 1.0669,                 1.0188,                 1.2614,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.0049,                0.97757,                 1.1952,                 0.7808,                0.76035,                 0.8412,                0.61045,                 1.0501,                0.95608,                 1.2471,              0.0007426,              0.0007426,              0.0007426
                     29,                  0.989,                0.98032,                 1.1866,                0.77827,                0.76244,                0.83553,                0.58711,                 1.0799,                 1.0209,                 1.2713,              0.0007327,              0.0007327,              0.0007327
                     30,                0.97204,                0.97327,                 1.1813,                0.75793,                0.78556,                0.83264,                0.59694,                 1.0891,                 0.9854,                 1.2915,              0.0007228,              0.0007228,              0.0007228
                     31,                0.97687,                0.91372,                  1.183,                0.79698,                0.77983,                 0.8523,                0.60217,                 1.1063,                0.90536,                  1.287,              0.0007129,              0.0007129,              0.0007129
                     32,                0.96853,                0.91138,                 1.1721,                0.79828,                0.77734,                0.84878,                0.61183,                 1.0577,                0.92198,                 1.2529,               0.000703,               0.000703,               0.000703
                     33,                0.94496,                0.90949,                 1.1603,                0.78305,                0.76137,                0.82158,                0.59314,                  1.046,                 0.9672,                 1.2506,              0.0006931,              0.0006931,              0.0006931
                     34,                 0.9571,                0.88492,                 1.1728,                0.83878,                0.77106,                0.86632,                0.62642,                 1.0688,                0.89762,                 1.2721,              0.0006832,              0.0006832,              0.0006832
                     35,                0.91874,                0.87938,                 1.1431,                0.81407,                0.79292,                0.86732,                0.63472,                 1.0285,                0.87214,                 1.2346,              0.0006733,              0.0006733,              0.0006733
                     36,                0.92966,                0.86891,                 1.1562,                0.83885,                0.77368,                0.86942,                0.63573,                 1.0295,                0.84801,                 1.2341,              0.0006634,              0.0006634,              0.0006634
                     37,                0.92459,                0.87791,                 1.1543,                0.78098,                0.82025,                0.85278,                0.62546,                  1.022,                0.89794,                 1.2254,              0.0006535,              0.0006535,              0.0006535
                     38,                0.91669,                 0.8393,                 1.1457,                 0.8121,                0.78534,                0.85406,                0.63245,                  1.032,                0.91016,                 1.2486,              0.0006436,              0.0006436,              0.0006436
                     39,                0.90352,                   0.81,                 1.1331,                 0.8146,                0.80182,                0.86604,                0.64467,                0.99776,                0.83332,                 1.2076,              0.0006337,              0.0006337,              0.0006337
                     40,                0.89694,                0.82135,                 1.1355,                0.81786,                0.77679,                0.84214,                0.62458,                 1.0485,                0.88756,                 1.2486,              0.0006238,              0.0006238,              0.0006238
                     41,                0.88265,                0.80238,                 1.1273,                0.82221,                0.81385,                0.87868,                0.64435,                 1.0246,                 0.8642,                 1.2325,              0.0006139,              0.0006139,              0.0006139
                     42,                0.89419,                 0.7829,                 1.1351,                0.80864,                0.80718,                0.86695,                0.63767,                 1.0382,                0.84105,                 1.2418,               0.000604,               0.000604,               0.000604
                     43,                0.88829,                0.78449,                 1.1313,                0.83148,                0.81328,                0.87583,                0.64831,                 1.0115,                0.82615,                 1.2228,              0.0005941,              0.0005941,              0.0005941
                     44,                0.88311,                0.78146,                 1.1259,                0.83361,                0.78484,                0.86721,                0.63471,                 1.0394,                0.82785,                 1.2487,              0.0005842,              0.0005842,              0.0005842
                     45,                0.85808,                0.74776,                 1.1114,                0.85575,                0.79382,                0.87841,                  0.651,                 1.0261,                0.81515,                 1.2387,              0.0005743,              0.0005743,              0.0005743
                     46,                0.85466,                 0.7587,                 1.1106,                0.80448,                 0.8068,                0.86899,                0.64536,                 1.0043,                0.82923,                 1.2246,              0.0005644,              0.0005644,              0.0005644
                     47,                0.83934,                0.74372,                 1.1044,                0.81795,                0.78359,                0.85181,                0.62791,                 1.0176,                 0.8677,                 1.2367,              0.0005545,              0.0005545,              0.0005545
                     48,                0.84594,                0.72093,                 1.1024,                0.80038,                0.82624,                0.86269,                0.64502,                0.99133,                0.82496,                 1.2068,              0.0005446,              0.0005446,              0.0005446
                     49,                0.83623,                0.70724,                 1.0996,                0.80041,                0.81756,                0.86203,                0.64589,                0.98807,                 0.8435,                 1.2188,              0.0005347,              0.0005347,              0.0005347
                     50,                0.83654,                0.71642,                 1.0958,                0.80115,                0.80912,                0.85858,                0.64234,                 1.0046,                 0.8421,                 1.2554,              0.0005248,              0.0005248,              0.0005248
                     51,                 0.8376,                0.72032,                 1.1027,                0.79671,                0.82848,                0.86777,                0.64935,                 1.0029,                0.82878,                  1.244,              0.0005149,              0.0005149,              0.0005149
                     52,                0.83016,                0.68889,                 1.0977,                0.84133,                 0.8308,                0.88754,                 0.6592,                 1.0288,                0.79829,                 1.2475,               0.000505,               0.000505,               0.000505
                     53,                0.81083,                0.71205,                 1.0894,                0.84285,                0.81174,                 0.8799,                0.64941,                 1.0112,                0.79617,                 1.2276,              0.0004951,              0.0004951,              0.0004951
                     54,                 0.8038,                 0.6634,                 1.0721,                0.83856,                0.79752,                0.87023,                0.64491,                 1.0071,                0.83293,                 1.2285,              0.0004852,              0.0004852,              0.0004852
                     55,                0.80386,                0.65476,                 1.0695,                0.85937,                0.79597,                0.87581,                0.65478,                  1.005,                0.80239,                 1.2344,              0.0004753,              0.0004753,              0.0004753
                     56,                0.79744,                0.65799,                 1.0717,                0.86359,                0.77432,                0.87339,                 0.6642,                0.97314,                0.80682,                 1.1908,              0.0004654,              0.0004654,              0.0004654
                     57,                0.79582,                0.65121,                 1.0714,                0.81345,                 0.8059,                0.87233,                0.65641,                0.97986,                0.82009,                 1.2104,              0.0004555,              0.0004555,              0.0004555
                     58,                0.77484,                0.63321,                 1.0661,                0.86248,                0.82693,                0.89059,                0.67707,                 0.9721,                0.77111,                 1.2149,              0.0004456,              0.0004456,              0.0004456
                     59,                0.77577,                0.63827,                 1.0661,                0.85661,                0.80126,                0.87708,                0.65763,                0.99282,                0.81675,                 1.2266,              0.0004357,              0.0004357,              0.0004357
                     60,                0.79089,                0.65711,                 1.0674,                0.84036,                0.80876,                0.86867,                0.65698,                0.98006,                0.81402,                 1.2237,              0.0004258,              0.0004258,              0.0004258
                     61,                0.76919,                0.61261,                 1.0563,                0.82337,                 0.8277,                0.86683,                 0.6435,                 1.0117,                0.81695,                 1.2442,              0.0004159,              0.0004159,              0.0004159
                     62,                0.76665,                0.61295,                 1.0562,                0.84771,                 0.8187,                0.88075,                0.66577,                0.99085,                0.79297,                  1.228,               0.000406,               0.000406,               0.000406
                     63,                0.75592,                0.60645,                 1.0535,                0.84445,                0.80023,                0.87092,                0.65393,                0.99859,                0.81402,                 1.2228,              0.0003961,              0.0003961,              0.0003961
                     64,                0.76036,                0.62679,                 1.0581,                0.85514,                0.77835,                0.86662,                0.65105,                 1.0054,                0.81978,                 1.2345,              0.0003862,              0.0003862,              0.0003862
                     65,                 0.7424,                0.59188,                 1.0346,                0.84733,                0.78199,                0.86497,                0.65962,                0.97076,                0.81535,                 1.2157,              0.0003763,              0.0003763,              0.0003763
                     66,                0.73136,                0.58192,                 1.0334,                0.85875,                0.79961,                0.87816,                0.65668,                0.98358,                0.80476,                 1.2082,              0.0003664,              0.0003664,              0.0003664
                     67,                0.73336,                0.56428,                  1.039,                0.85856,                0.83105,                0.88769,                0.67619,                0.97165,                0.76161,                 1.2088,              0.0003565,              0.0003565,              0.0003565
                     68,                0.73574,                0.57394,                 1.0434,                0.84439,                 0.8027,                0.87749,                0.66457,                0.99533,                0.79397,                 1.2448,              0.0003466,              0.0003466,              0.0003466
                     69,                0.72539,                0.56531,                 1.0401,                0.82489,                0.84224,                0.88197,                0.66696,                0.97219,                0.78706,                 1.2115,              0.0003367,              0.0003367,              0.0003367
                     70,                0.71477,                0.55154,                 1.0269,                0.82332,                0.82563,                 0.8704,                0.65822,                 0.9883,                0.82097,                 1.2254,              0.0003268,              0.0003268,              0.0003268
                     71,                0.71163,                0.56069,                 1.0227,                0.86044,                0.81744,                0.87733,                0.66373,                 1.0001,                0.79608,                  1.234,              0.0003169,              0.0003169,              0.0003169
                     72,                0.71673,                0.55949,                 1.0292,                0.85553,                0.83466,                0.88668,                0.67884,                0.96648,                0.75006,                 1.2039,               0.000307,               0.000307,               0.000307
                     73,                0.71146,                0.54397,                 1.0232,                0.84902,                0.84328,                0.88185,                0.66857,                 0.9845,                0.77227,                 1.2073,              0.0002971,              0.0002971,              0.0002971
                     74,                0.69742,                0.52836,                 1.0163,                0.88629,                0.80771,                0.88749,                0.66928,                0.98524,                0.76696,                 1.2194,              0.0002872,              0.0002872,              0.0002872
                     75,                0.70474,                0.55485,                 1.0283,                0.84107,                0.83928,                0.88898,                0.67458,                0.98283,                0.75305,                 1.2162,              0.0002773,              0.0002773,              0.0002773
                     76,                0.69418,                0.51639,                 1.0174,                0.85881,                0.82527,                0.88318,                0.67422,                0.97183,                0.75514,                 1.2213,              0.0002674,              0.0002674,              0.0002674
                     77,                0.68715,                0.50958,                  1.011,                0.83961,                0.84215,                 0.8867,                0.67323,                0.99006,                0.75157,                 1.2241,              0.0002575,              0.0002575,              0.0002575
                     78,                0.67896,                0.51498,                 1.0113,                0.88866,                0.80957,                 0.8869,                0.67856,                0.98217,                0.75518,                  1.222,              0.0002476,              0.0002476,              0.0002476
                     79,                0.66243,                0.49611,                 1.0045,                0.89421,                0.81228,                0.88551,                0.67603,                0.96772,                 0.7634,                 1.1977,              0.0002377,              0.0002377,              0.0002377
                     80,                0.66747,                0.50099,                0.99649,                0.86307,                0.83229,                0.88619,                0.67474,                  0.979,                0.78254,                 1.2146,              0.0002278,              0.0002278,              0.0002278
                     81,                0.66804,                0.50123,                 1.0011,                0.87144,                0.83166,                0.88606,                0.67757,                0.98173,                0.75975,                 1.2233,              0.0002179,              0.0002179,              0.0002179
                     82,                0.66058,                0.49685,                  1.003,                 0.8791,                0.81166,                0.88696,                0.67599,                 0.9954,                0.75565,                 1.2324,               0.000208,               0.000208,               0.000208
                     83,                0.65093,                0.48852,                0.99313,                 0.8358,                 0.8386,                0.88998,                0.67969,                0.96529,                0.77196,                 1.2078,              0.0001981,              0.0001981,              0.0001981
                     84,                0.64094,                 0.4816,                0.99678,                0.87851,                0.83713,                0.89465,                0.68696,                 0.9579,                0.73327,                 1.2082,              0.0001882,              0.0001882,              0.0001882
                     85,                0.64187,                0.47981,                0.99318,                0.86246,                0.83968,                0.88671,                 0.6779,                0.98158,                0.74346,                 1.2266,              0.0001783,              0.0001783,              0.0001783
                     86,                0.64175,                0.47079,                 0.9935,                0.88956,                0.81586,                 0.8837,                0.67271,                0.98381,                0.74963,                 1.2366,              0.0001684,              0.0001684,              0.0001684
                     87,                0.61882,                0.46314,                0.98215,                 0.8877,                0.81649,                0.89063,                0.68029,                0.97844,                0.77936,                 1.2318,              0.0001585,              0.0001585,              0.0001585
                     88,                0.62786,                0.46216,                0.98879,                 0.8926,                0.82839,                0.89446,                0.68448,                0.96719,                0.74186,                 1.2225,              0.0001486,              0.0001486,              0.0001486
                     89,                0.62087,                0.45029,                0.98234,                0.88594,                0.83617,                 0.8918,                0.68633,                0.96467,                0.74756,                 1.2163,              0.0001387,              0.0001387,              0.0001387
                     90,                0.61643,                0.45433,                0.98164,                0.87414,                  0.845,                0.89317,                0.69063,                0.95743,                0.73121,                 1.2258,              0.0001288,              0.0001288,              0.0001288
                     91,                0.52385,                0.33538,                0.91532,                0.87587,                0.84364,                0.89256,                0.68833,                0.96993,                0.73742,                  1.227,              0.0001189,              0.0001189,              0.0001189
                     92,                 0.5297,                 0.3285,                0.91862,                0.88245,                0.82732,                0.89368,                0.69179,                0.95925,                0.73005,                 1.2238,               0.000109,               0.000109,               0.000109
                     93,                0.52505,                0.31814,                0.91039,                0.89211,                0.81292,                 0.8971,                0.69345,                0.95536,                0.75106,                  1.225,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.50497,                0.30425,                0.89722,                0.90041,                0.82778,                0.89902,                0.69347,                0.96217,                0.74035,                 1.2321,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.49785,                0.29909,                0.90305,                0.86054,                0.85632,                0.89166,                0.69117,                  0.967,                 0.7452,                 1.2349,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.48926,                0.29192,                0.89298,                0.86428,                0.85956,                0.89377,                0.69137,                 0.9689,                0.74525,                  1.236,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                0.48364,                0.28458,                0.89169,                0.86344,                0.85317,                0.89696,                0.69487,                0.96614,                0.73838,                 1.2362,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                0.48033,                0.29552,                0.88404,                   0.87,                0.84156,                0.89394,                0.69182,                0.96144,                0.76363,                 1.2309,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.48092,                 0.2873,                0.88975,                 0.8711,                0.84518,                0.89252,                0.69155,                0.97074,                0.75602,                 1.2336,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                0.47482,                0.28747,                0.88446,                0.88521,                0.83588,                0.89497,                0.69266,                0.96583,                0.75056,                 1.2313,               2.98e-05,               2.98e-05,               2.98e-05
